name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G502 Proteus Core,0.0,Optical,Wired,12000.0,Right,Black / Blue
Razer Basilisk,0.0,Optical,Wired,16000.0,Right,Pink
Asus TUF GAMING x Demon Slayer L.E. Tanjiro Kamado,24.99,Optical,Wired,7000.0,Right,Black / Green
Logitech Signature M650 L,31.9,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Left,Black
Logitech M170,11.06,Optical,"Wired, Wireless",1000.0,Both,White
Logitech M190,11.99,Optical,"Wired, Wireless",1000.0,Both,Black
MSI CLUTCH,68.0,Optical,Wireless,6400.0,Right,Black
Perixx PERIMICE-517,29.99,Trackball,Wired,1000.0,Left,Black
Logitech MX518,159.94,Optical,Wired,16000.0,Right,Black
ROCCAT Kone AIMO Remastered,0.0,Optical,Wired,16000.0,Right,Black
Pulsar Xlite V2,0.0,Optical,Wireless,20000.0,Right,Black
